#COMBINATION;FREQ1;FREQ2;ORDER1;ORDER2;SIGN
1.3225E10;3.2639E10;2.1173E10;3;4;-
2.927308E10;2.062436E10;3.26E10;3;1;-
2.921961E10;2.062487E10;3.2655E10;3;1;-
2.919215E10;2.062405E10;3.268E10;3;1;-
2.935256E10;2.062452E10;3.2521E10;3;1;-
1.4496E10;3.27E10;2.0901E10;3;4;-
2.917842E10;2.062414E10;3.2694E10;3;1;-
2.933883E10;2.062461E10;3.2535E10;3;1;-
2.915096E10;2.062432E10;3.2722E10;3;1;-
2.92579E10;2.06243E10;3.2615E10;3;1;-
2.931137E10;2.062479E10;3.2563E10;3;1;-
2.916469E10;2.062423E10;3.2708E10;3;1;-
2.93251E10;2.06247E10;3.2549E10;3;1;-
2.918132E10;2.062444E10;3.2692E10;3;1;-
2.921381E10;2.062427E10;3.2659E10;3;1;-
2.915386E10;2.062462E10;3.272E10;3;1;-
2.918635E10;2.062445E10;3.2687E10;3;1;-
2.9328E10;2.0625E10;3.2547E10;3;1;-
2.936049E10;2.062483E10;3.2514E10;3;1;-
1.3393E10;3.2695E10;2.1173E10;3;4;-
2.930054E10;2.062418E10;3.2572E10;3;1;-
2.933303E10;2.062401E10;3.2539E10;3;1;-
2.8057E10;2.0266E10;3.2741E10;3;1;-
1.4664E10;3.274E10;2.0889E10;3;4;-
2.915889E10;2.062463E10;3.2715E10;3;1;-
2.923334E10;2.062478E10;3.2641E10;3;1;-
2.933593E10;2.062431E10;3.2537E10;3;1;-
2.930344E10;2.062448E10;3.257E10;3;1;-
2.9664E10;2.0802E10;3.2742E10;3;1;-
2.927598E10;2.062466E10;3.2598E10;3;1;-
2.91293E10;2.06231E10;3.274E10;3;1;-
2.923624E10;2.062408E10;3.2636E10;3;1;-
2.916179E10;2.062493E10;3.2713E10;3;1;-
2.8393E10;2.0378E10;3.2741E10;3;1;-
2.913433E10;2.062411E10;3.2738E10;3;1;-
2.920878E10;2.062426E10;3.2664E10;3;1;-
2.924127E10;2.062409E10;3.2631E10;3;1;-
2.930847E10;2.062449E10;3.2565E10;3;1;-
2.928101E10;2.062467E10;3.2593E10;3;1;-
2.935546E10;2.062482E10;3.2519E10;3;1;-
2.921168E10;2.062456E10;3.2662E10;3;1;-
2.934386E10;2.062462E10;3.253E10;3;1;-
2.935836E10;2.062412E10;3.2514E10;3;1;-
2.915599E10;2.062433E10;3.2717E10;3;1;-
2.917049E10;2.062483E10;3.2704E10;3;1;-
3.0E10;2.0902E10;3.2706E10;3;1;-
2.914226E10;2.062442E10;3.2731E10;3;1;-
2.930267E10;2.062489E10;3.2572E10;3;1;-
2.915676E10;2.062492E10;3.2718E10;3;1;-
2.931717E10;2.062439E10;3.2556E10;3;1;-
2.922174E10;2.062458E10;3.2652E10;3;1;-
2.923547E10;2.062449E10;3.2638E10;3;1;-
2.928894E10;2.062498E10;3.2586E10;3;1;-
2.93338E10;2.06246E10;3.254E10;3;1;-
2.913143E10;2.062381E10;3.274E10;3;1;-
2.934753E10;2.062451E10;3.2526E10;3;1;-
2.92521E10;2.06247E10;3.2622E10;3;1;-
2.927811E10;2.062437E10;3.2595E10;3;1;-
2.91322E10;2.06244E10;3.2741E10;3;1;-
2.914593E10;2.062431E10;3.2727E10;3;1;-
2.926438E10;2.062446E10;3.2609E10;3;1;-
2.921091E10;2.062497E10;3.2664E10;3;1;-
2.922541E10;2.062447E10;3.2648E10;3;1;-
2.927888E10;2.062496E10;3.2596E10;3;1;-
2.929261E10;2.062487E10;3.2582E10;3;1;-
2.919718E10;2.062406E10;3.2675E10;3;1;-
2.935759E10;2.062453E10;3.2516E10;3;1;-
2.924204E10;2.062468E10;3.2632E10;3;1;-
2.930924E10;2.062408E10;3.2563E10;3;1;-
2.934173E10;2.062491E10;3.2533E10;3;1;-
2.8466E10;2.039E10;3.2704E10;3;1;-
1.2962E10;3.255E10;2.1172E10;3;4;-
2.927231E10;2.062477E10;3.2602E10;3;1;-
2.917262E10;2.062454E10;3.2701E10;3;1;-
2.920511E10;2.062437E10;3.2668E10;3;1;-
1.313E10;3.2606E10;2.1172E10;3;4;-
2.914013E10;2.062471E10;3.2734E10;3;1;-
1.4233E10;3.2739E10;2.0996E10;3;4;-
2.935179E10;2.062493E10;3.2523E10;3;1;-
